"entity_id","organization_name","organization_type","city","region","country","authentication_status","public_source_present","outreach_allowed"
"BD_BOOK_EXP_00364","CORYELL COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00218","COTTLE COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00371","CRANE COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00373","CROCKETT COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00430","CROSBY COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00363","CULBERSON COUNTY SHERIFFS DEPARTMENT","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00342","DALLAM COUNTY SHERIFF AND JAIL","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00496","Dallas Area Rapid Transit Police Department","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00904","DALLAS CITY PROSECUTOR OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_00498","Dallas Co. Sheriff's Academy","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00906","DALLAS COMMUNITY COLLEGE POLICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_00902","DALLAS COUNTY SHERIFF OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","AUTHENTICATION_PENDING","False","False"
"BD_BOOK_EXP_00018","Dallas County Sheriff's Department","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00239","DALLAS COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00907","DALLAS GANG / VIOLENT CRIME UNIT","MOTORCYCLE_ORGANIZATION",,"TX","USA","AUTHENTICATION_PENDING","False","False"
